is_human,user_tweeted,user_retweeted,user_favourited,user_replied,likes_per_tweet,retweets_per_tweet,lists_per_user,follower_friend_ratio,tweet_frequency,favourite_tweet_ratio,age_of_account_in_days,sources_count,urls_count,cdn_content_in_kb,source_other,source_web,source_mobile,source_app,source_automation,source_branding,source_news
0,0,2,202.0,2,0.0,0.0,1.1955718147666037,30.892313073162505,5.207585203156871,0.0,1550.7703703703703,1,1,0.1302578407864192,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,11,1,3325.0,9,0.0,0.0,0.036805260937343,815.5754830917873,16.34978165338963,0.0,1381.6596296296295,1,12,2.4065261289361883,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,253,115.12252964426878,253,0.0,0.0,0.1028097645290224,1.1566405613373427,39.10118352827806,0.0,1384.5648726851853,2,205,0.0831470824628126,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,21,1,27880.5,11,0.0,0.0,0.0535578387342661,544.1401107181996,69.55495225474948,0.0,1316.884548611111,1,5,21.17155982231316,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,2,8.0,2,0.0,0.0,0.030115610773246,1.3227771502248935,12.76675346083126,0.0,1494.1630208333331,1,2,0.0053541681118156,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,78,148.02564102564102,78,0.0,0.0,0.0767028451644549,1.2468915296063712,74.0158112154004,0.0,1000.1998842592592,1,39,0.1479960589430259,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,2,0,629.0,0,0.0,0.0,0.0013755501094154,2319.191699604743,10.8373099713727,0.0,716.3305555555556,1,0,0.8780862342416403,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,15,13489.333333333334,15,0.0,0.0,0.0461637961521009,1.0963284055137112,66.66385802291386,0.0,1171.453298611111,2,10,11.515041486780948,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,11,0,0.0,0,0.0,0.0,0.0267790136501059,33.67396686620849,36.84730854842043,0.0,1222.393275462963,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,8,1,4.0,1,0.0,0.0,0.1470886796717921,100.7292351441723,32.670402988700374,0.0,2016.001805555556,2,8,0.0019841252071189,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,0,13.0,0,0.0,0.0,0.2446935687617941,65.71265099659014,20.803676994453536,0.0,1694.2973032407408,1,6,0.007672797433564,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,18,55,13900.301369863011,56,0.0,0.0,0.399033918094524,9.128995203647,62.07156935415303,0.0,2705.4525,3,59,5.137884095123834,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0,25,55.92,25,0.0,0.0,0.1927683455077344,1.055283928811495,76.07628766837531,0.0,559.5262268518519,1,19,0.0999416958783706,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,28,0,1316.892857142857,10,0.0,0.0,0.5561867815799215,5.987311881907502,26.231089787449022,0.0,1555.7829282407408,3,26,0.8464502555198896,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0,75,4,41.0,0,0.0,0.0,0.2694808953987174,1.6771164376885923,43.24543938641298,0.0,800.2218287037036,3,79,0.0512357930380589,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0,0,6,211.0,6,0.0,0.0,0.08286058624425,1.2823752833187714,36.2315158020202,0.0,628.2387962962963,1,2,0.3358595509286027,0.0,0.0,0.0,1.0,0.0,0.0,0.0
